offline_datapoint_25 1701257489 744,000
offline_datapoint_19 1701257487 26,602
offline_datapoint_8 1701257487 13793,266
offline_datapoint_21 1701257489 74031104,000
offline_datapoint_1 1701257487 1,995
offline_datapoint_20 1701257489 10320326656,000
offline_datapoint_7 1701257489 6303690752,000
offline_datapoint_6 1701257487 0,000
offline_datapoint_12 1701257487 3,166
offline_datapoint_24 1701257487 1,039
offline_datapoint_13 1701257487 8782,400
offline_datapoint_18 1701257489 0,000
offline_datapoint_0 1701257487 15158,626
offline_datapoint_16 1701257487 4093,421
offline_datapoint_28 1701257487 0,787
offline_datapoint_17 1701257487 14,299
offline_datapoint_10 1701257487 99,668
offline_datapoint_29 1701257487 4,323
offline_datapoint_22 1701257487 27719,442
offline_datapoint_4 1701257487 0,008
offline_datapoint_11 1701257492 28230,000
offline_datapoint_5 1701257492 4984,000
offline_datapoint_26 1701257492 585576448,000
offline_datapoint_14 1701257492 483360768,000
offline_datapoint_3 1701257492 14085705728,000
offline_datapoint_9 1701257492 74133504,000
offline_datapoint_25 1701257492 745,000
offline_datapoint_19 1701257490 10,695
offline_datapoint_8 1701257490 4731,704
offline_datapoint_21 1701257492 74133504,000
offline_datapoint_1 1701257490 0,668
offline_datapoint_20 1701257492 10322702336,000
offline_datapoint_7 1701257492 6306250752,000
offline_datapoint_6 1701257490 0,000
offline_datapoint_12 1701257490 1,180
offline_datapoint_24 1701257490 0,522
offline_datapoint_13 1701257490 8194,757
offline_datapoint_18 1701257492 0,000
offline_datapoint_0 1701257490 14037,700
offline_datapoint_16 1701257490 1526,324
offline_datapoint_28 1701257490 0,610
offline_datapoint_17 1701257490 13,702
offline_datapoint_10 1701257490 99,779
offline_datapoint_29 1701257490 0,668
offline_datapoint_22 1701257490 11988,293
offline_datapoint_4 1701257490 0,006
offline_datapoint_11 1701257495 28230,000
offline_datapoint_5 1701257495 4983,000
offline_datapoint_26 1701257495 585584640,000
offline_datapoint_14 1701257495 483360768,000
offline_datapoint_3 1701257495 14085812224,000
offline_datapoint_9 1701257495 74956800,000
offline_datapoint_25 1701257495 669,000
offline_datapoint_19 1701257493 4775,802
offline_datapoint_8 1701257493 17500,968
offline_datapoint_21 1701257495 74956800,000
offline_datapoint_1 1701257493 428,905
offline_datapoint_20 1701257495 10320465920,000
offline_datapoint_7 1701257495 6292389888,000
offline_datapoint_6 1701257493 0,000
offline_datapoint_12 1701257493 3,319
offline_datapoint_24 1701257493 1,623
offline_datapoint_13 1701257493 10159,053
offline_datapoint_18 1701257495 0,000
offline_datapoint_0 1701257493 16529,117
offline_datapoint_16 1701257493 4220,886
offline_datapoint_28 1701257493 6,326
offline_datapoint_17 1701257493 378,034
offline_datapoint_10 1701257493 95,463
offline_datapoint_29 1701257493 0,665
offline_datapoint_22 1701257493 53431,726
offline_datapoint_4 1701257493 0,063
offline_datapoint_11 1701257498 28230,000
offline_datapoint_5 1701257498 4976,000
offline_datapoint_26 1701257498 585646080,000
offline_datapoint_14 1701257498 481284096,000
offline_datapoint_3 1701257498 14069313536,000
offline_datapoint_9 1701257498 74547200,000
offline_datapoint_25 1701257498 781,000
offline_datapoint_19 1701257496 7632,928
offline_datapoint_8 1701257496 3086,467
offline_datapoint_21 1701257498 74547200,000
offline_datapoint_1 1701257496 2,664
offline_datapoint_20 1701257498 10307002368,000
offline_datapoint_7 1701257498 6296354816,000
offline_datapoint_6 1701257496 0,000
offline_datapoint_12 1701257496 1,916
offline_datapoint_24 1701257496 1,171
offline_datapoint_13 1701257496 8591,165
offline_datapoint_18 1701257498 0,000
offline_datapoint_0 1701257496 14299,296
offline_datapoint_16 1701257496 1044,804
offline_datapoint_28 1701257496 5,242
offline_datapoint_17 1701257496 49,943
offline_datapoint_10 1701257496 94,965
offline_datapoint_29 1701257496 2,664
offline_datapoint_22 1701257496 632176,640
offline_datapoint_4 1701257496 0,052
offline_datapoint_11 1701257501 28230,000
offline_datapoint_5 1701257501 4983,000
offline_datapoint_26 1701257501 585646080,000
offline_datapoint_14 1701257501 481296384,000
offline_datapoint_3 1701257501 14074736640,000
offline_datapoint_9 1701257501 74829824,000
offline_datapoint_25 1701257501 779,000
offline_datapoint_19 1701257499 8,663
offline_datapoint_8 1701257499 2759,253
offline_datapoint_21 1701257501 74829824,000
offline_datapoint_1 1701257499 1,333
offline_datapoint_20 1701257501 10313445376,000
offline_datapoint_7 1701257501 6301126656,000
offline_datapoint_6 1701257499 0,000
offline_datapoint_12 1701257499 1,557
offline_datapoint_24 1701257499 0,781
offline_datapoint_13 1701257499 8815,217
offline_datapoint_18 1701257501 0,000
offline_datapoint_0 1701257499 14631,607
offline_datapoint_16 1701257499 1175,207
offline_datapoint_28 1701257499 0,277
offline_datapoint_17 1701257499 6,664
offline_datapoint_10 1701257499 99,689
offline_datapoint_29 1701257499 0,666
offline_datapoint_22 1701257499 10444,800
offline_datapoint_4 1701257499 0,003
offline_datapoint_11 1701257504 28230,000
offline_datapoint_5 1701257504 4968,000
offline_datapoint_26 1701257504 585646080,000
offline_datapoint_14 1701257504 481296384,000
offline_datapoint_3 1701257504 14058520576,000
offline_datapoint_9 1701257504 74584064,000
offline_datapoint_25 1701257504 777,000
offline_datapoint_19 1701257502 0,000
offline_datapoint_8 1701257502 709,977
offline_datapoint_21 1701257504 74584064,000
offline_datapoint_1 1701257502 0,000
offline_datapoint_20 1701257504 10296393728,000
offline_datapoint_7 1701257504 6283866112,000
offline_datapoint_6 1701257502 0,000
offline_datapoint_12 1701257502 2,501
offline_datapoint_24 1701257502 0,521
offline_datapoint_13 1701257502 7102,772
offline_datapoint_18 1701257504 0,000
offline_datapoint_0 1701257502 11933,017
offline_datapoint_16 1701257502 585,373
offline_datapoint_28 1701257502 0,433
offline_datapoint_17 1701257502 5,997
offline_datapoint_10 1701257502 99,817
offline_datapoint_29 1701257502 0,000
offline_datapoint_22 1701257502 56433,778
offline_datapoint_4 1701257502 0,004
offline_datapoint_11 1701257507 28230,000
offline_datapoint_5 1701257507 4974,000
offline_datapoint_26 1701257507 585646080,000
offline_datapoint_14 1701257507 481296384,000
offline_datapoint_3 1701257507 14059307008,000
offline_datapoint_9 1701257507 74588160,000
